"geographicAreaM49","measuredElement","measuredItemCPC","fbsDistribParam","timePointYears","Value"
"106",121,"619","logmu",2009,8.46802561887393
"106",141,"619","logmu",2009,11.01865980675
"106",111,"71","logmu",2009,6.38689799942244
"106",121,"71","logmu",2009,NA
"106",111,"75","logmu",2009,10.3942311846549
"106",121,"75","logmu",2009,8.78479327222081
"106",111,"83","logmu",2009,7.25154449814426
"106",121,"83","logmu",2009,7.92053059900911
"106",121,"866","logmu",2009,11.5028938091765
"106",141,"882","logmu",2009,14.2814173852793
"106",121,"976","logmu",2009,12.4191845410507
"106",141,"982","logmu",2009,9.20030871618248
"106",121,"1016","logsigma",2009,0.0200633115874105
"106",141,"1020","logsigma",2009,0.020063311587414
"106",121,"1034","logsigma",2009,0.0200633115874105
"106",111,"1062","logsigma",2009,0.020063311587414
"106",121,"1062","logsigma",2009,0.0200633115874123
"106",141,"1062","logsigma",2009,0.020063311587414
"106",111,"108","logsigma",2009,0.0200633115874105
"106",121,"108","logsigma",2009,NA
"106",111,"116","logsigma",2009,0.0200633115874105
"106",121,"116","logsigma",2009,0.0200633115874105
"106",141,"116","logsigma",2009,0.020063311587414
"106",141,"1163","logsigma",2009,0.0200633115874123
"106",141,"1166","logsigma",2009,0.020063311587414
"106",141,"1182","logsigma",2009,0.0200633115874105
"106",141,"119","logsigma",2009,0.0200633115874105
"106",121,"122","logsigma",2009,0.0200633115874123
"106",141,"122","logsigma",2009,0.020063311587414
"106",111,"15","logsigma",2009,0.0200633115874105
"106",121,"15","logsigma",2009,0.020063311587414
"106",121,"157","logsigma",2009,0.020063311587414
"106",111,"176","logsigma",2009,0.020063311587414
"106",121,"176","logsigma",2009,0.020063311587414
"106",141,"176","logsigma",2009,0.0200633115874105
"106",111,"181","logsigma",2009,0.020063311587414
"106",121,"181","logsigma",2009,0.020063311587414
"106",141,"181","logsigma",2009,0.020063311587414
"106",111,"187","logsigma",2009,0.0200633115874123
"106",121,"187","logsigma",2009,0.0200633115874123
"106",141,"187","logsigma",2009,0.020063311587414
"106",111,"191","logsigma",2009,0.0200633115874123
"106",121,"191","logsigma",2009,0.0200633115874123
"106",141,"191","logsigma",2009,0.0200633115874105
"106",111,"201","logsigma",2009,0.0200633115874123
"106",121,"201","logsigma",2009,0.0200633115874123
"106",141,"201","logsigma",2009,0.0200633115874105
"106",111,"205","logsigma",2009,0.0200633115874123
"106",121,"205","logsigma",2009,0.0200633115874123
"106",111,"210","logsigma",2009,0.0200633115874123
"106",121,"210","logsigma",2009,0.0200633115874105
"106",111,"211","logsigma",2009,0.0200633115874123
"106",121,"211","logsigma",2009,0.0200633115874123
"106",121,"223","logsigma",2009,0.0200633115874123
"106",141,"223","logsigma",2009,0.020063311587414
"106",141,"229","logsigma",2009,0.0200633115874123
"106",141,"230","logsigma",2009,0.0200633115874123
"106",121,"234","logsigma",2009,0.0200633115874123
"106",111,"236","logsigma",2009,0.020063311587414
"106",121,"236","logsigma",2009,0.0200633115874105
"106",111,"242","logsigma",2009,NA
"106",121,"249","logsigma",2009,0.0200633115874123
"106",141,"249","logsigma",2009,0.0200633115874123
"106",141,"257","logsigma",2009,0.020063311587414
"106",121,"260","logsigma",2009,0.020063311587414
"106",141,"260","logsigma",2009,0.0200633115874105
"106",111,"267","logsigma",2009,0.0200633115874123
"106",121,"267","logsigma",2009,0.0200633115874105
"106",111,"27","logsigma",2009,0.0200633115874105
"106",111,"270","logsigma",2009,0.0200633115874123
"106",121,"270","logsigma",2009,0.0200633115874123
"106",111,"289","logsigma",2009,0.0200633115874123
"106",121,"289","logsigma",2009,0.0200633115874123
"106",111,"292","logsigma",2009,NA
"106",141,"293","logsigma",2009,NA
"106",111,"333","logsigma",2009,0.0200633115874123
"106",111,"336","logsigma",2009,NA
"106",121,"339","logsigma",2009,0.020063311587414
"106",121,"358","logsigma",2009,0.020063311587414
"106",141,"358","logsigma",2009,0.020063311587414
"106",121,"366","logsigma",2009,0.0200633115874105
"106",141,"366","logsigma",2009,0.020063311587414
"106",121,"367","logsigma",2009,0.020063311587414
"106",141,"367","logsigma",2009,0.0200633115874105
"106",121,"373","logsigma",2009,0.0200633115874105
"106",141,"373","logsigma",2009,0.020063311587414
"106",121,"388","logsigma",2009,0.020063311587414
"106",141,"388","logsigma",2009,0.020063311587414
"106",121,"393","logsigma",2009,0.0200633115874105
"106",141,"393","logsigma",2009,0.020063311587414
"106",121,"394","logsigma",2009,0.020063311587414
"106",141,"394","logsigma",2009,0.0200633115874105
"106",121,"397","logsigma",2009,0.020063311587414
"106",141,"397","logsigma",2009,0.020063311587414
"106",121,"399","logsigma",2009,0.020063311587414
"106",141,"399","logsigma",2009,0.020063311587414
"106",121,"401","logsigma",2009,0.020063311587414
"106",141,"401","logsigma",2009,0.0200633115874105
"106",121,"402","logsigma",2009,0.0200633115874123
"106",141,"402","logsigma",2009,0.0200633115874123
"106",121,"403","logsigma",2009,0.0200633115874105
"106",141,"403","logsigma",2009,0.0200633115874105
"106",121,"406","logsigma",2009,0.020063311587414
"106",141,"406","logsigma",2009,0.0200633115874105
"106",121,"414","logsigma",2009,0.020063311587414
"106",141,"414","logsigma",2009,0.0200633115874105
"106",121,"417","logsigma",2009,0.0200633115874105
"106",141,"417","logsigma",2009,0.020063311587414
"106",121,"420","logsigma",2009,0.020063311587414
"106",141,"420","logsigma",2009,0.020063311587414
"106",121,"426","logsigma",2009,0.0200633115874105
"106",141,"426","logsigma",2009,0.020063311587414
"106",111,"44","logsigma",2009,0.0200633115874105
"106",121,"44","logsigma",2009,0.0200633115874123
"106",141,"446","logsigma",2009,0.0200633115874105
"106",121,"449","logsigma",2009,0.0200633115874105
"106",141,"449","logsigma",2009,0.020063311587414
"106",121,"459","logsigma",2009,NA
"106",141,"459","logsigma",2009,NA
"106",111,"463","logsigma",2009,0.0200633115874105
"106",121,"463","logsigma",2009,0.020063311587414
"106",141,"463","logsigma",2009,0.020063311587414
"106",121,"486","logsigma",2009,0.020063311587414
"106",141,"486","logsigma",2009,0.0200633115874105
"106",141,"489","logsigma",2009,0.0200633115874123
"106",121,"490","logsigma",2009,0.0200633115874105
"106",141,"490","logsigma",2009,0.0200633115874105
"106",121,"495","logsigma",2009,0.0200633115874105
"106",141,"495","logsigma",2009,0.020063311587414
"106",121,"497","logsigma",2009,0.020063311587414
"106",141,"497","logsigma",2009,0.0200633115874105
"106",121,"507","logsigma",2009,0.0200633115874123
"106",141,"507","logsigma",2009,0.020063311587414
"106",141,"512","logsigma",2009,0.020063311587414
"106",121,"515","logsigma",2009,0.0200633115874105
"106",141,"515","logsigma",2009,0.020063311587414
"106",121,"521","logsigma",2009,0.0200633115874105
"106",141,"521","logsigma",2009,0.0200633115874105
"106",121,"523","logsigma",2009,0.0200633115874123
"106",141,"523","logsigma",2009,0.0200633115874123
"106",121,"526","logsigma",2009,0.0200633115874105
"106",141,"526","logsigma",2009,0.0200633115874105
"106",121,"530","logsigma",2009,0.0200633115874123
"106",141,"530","logsigma",2009,0.020063311587414
"106",121,"531","logsigma",2009,0.0200633115874105
"106",141,"531","logsigma",2009,0.020063311587414
"106",121,"534","logsigma",2009,0.0200633115874105
"106",141,"534","logsigma",2009,0.020063311587414
"106",121,"536","logsigma",2009,0.0200633115874105
"106",141,"536","logsigma",2009,0.0200633115874105
"106",121,"541","logsigma",2009,0.0200633115874123
"106",141,"541","logsigma",2009,0.020063311587414
"106",121,"544","logsigma",2009,0.0200633115874105
"106",141,"544","logsigma",2009,0.020063311587414
"106",121,"547","logsigma",2009,0.0200633115874123
"106",141,"547","logsigma",2009,0.020063311587414
"106",141,"550","logsigma",2009,0.0200633115874123
"106",121,"552","logsigma",2009,0.0200633115874123
"106",141,"552","logsigma",2009,0.0200633115874123
"106",141,"554","logsigma",2009,0.0200633115874123
"106",141,"558","logsigma",2009,0.020063311587414
"106",111,"56","logsigma",2009,0.0200633115874105
"106",121,"56","logsigma",2009,0.0200633115874105
"106",121,"560","logsigma",2009,0.0200633115874105
"106",141,"560","logsigma",2009,0.0200633115874105
"106",121,"569","logsigma",2009,0.0200633115874123
"106",141,"569","logsigma",2009,0.020063311587414
"106",141,"571","logsigma",2009,0.020063311587414
"106",141,"572","logsigma",2009,0.0200633115874105
